,winner_name,subject,year,url
274,Pablo Neruda,Literature,1971,/wiki/Pablo_Neruda
275,Willy Brandt,Peace,1971,/wiki/Willy_Brandt
276,John Bardeen;Leon Cooper;John Robert Schrieffer,Physics,1972,/wiki/John_Bardeen
277,Christian B. Anfinsen;Stanford Moore;William Howard Stein,Chemistry,1972,/wiki/Leon_Cooper
278,Gerald Edelman;Rodney Robert Porter,Physiologyor Medicine,1972,/wiki/John_Robert_Schrieffer
279,Heinrich Böll,Literature,1972,/wiki/Christian_B._Anfinsen
280,None,Peace,1972,/wiki/Stanford_Moore
281,Leo Esaki;Ivar Giaever;Brian Josephson,Physics,1973,/wiki/Leo_Esaki
282,Ernst Otto Fischer;Geoffrey Wilkinson,Chemistry,1973,/wiki/Ivar_Giaever
283,Karl von Frisch;Konrad Lorenz;Nikolaas Tinbergen,Physiologyor Medicine,1973,/wiki/Brian_Josephson
284,Patrick White,Literature,1973,/wiki/Ernst_Otto_Fischer
285,Henry Kissinger;Lê Đức Thọ[f],Peace,1973,/wiki/Geoffrey_Wilkinson
286,Martin Ryle;Antony Hewish,Physics,1974,/wiki/Martin_Ryle
287,Paul Flory,Chemistry,1974,/wiki/Antony_Hewish
288,Albert Claude;Christian de Duve;George Emil Palade,Physiologyor Medicine,1974,/wiki/Paul_Flory
289,Eyvind Johnson;Harry Martinson,Literature,1974,/wiki/Albert_Claude
290,Seán MacBride;Eisaku Satō,Peace,1974,/wiki/Christian_de_Duve
291,Aage Bohr;Ben Roy Mottelson;James Rainwater,Physics,1975,/wiki/Aage_Bohr
292,John Cornforth;Vladimir Prelog,Chemistry,1975,/wiki/Ben_Roy_Mottelson
293,David Baltimore;Renato Dulbecco;Howard Martin Temin,Physiologyor Medicine,1975,/wiki/James_Rainwater
294,Eugenio Montale,Literature,1975,/wiki/John_Cornforth
295,Andrei Sakharov,Peace,1975,/wiki/Vladimir_Prelog
296,Burton Richter;Samuel C. C. Ting,Physics,1976,/wiki/Burton_Richter
297,William Lipscomb,Chemistry,1976,/wiki/Samuel_C._C._Ting
298,Baruch Samuel Blumberg;Daniel Carleton Gajdusek,Physiologyor Medicine,1976,/wiki/William_Lipscomb
299,Saul Bellow,Literature,1976,/wiki/Baruch_Samuel_Blumberg
300,Betty Williams;Mairead Maguire,Peace,1976,/wiki/Daniel_Carleton_Gajdusek
301,Philip W. Anderson;Nevill Francis Mott;John Hasbrouck Van Vleck,Physics,1977,/wiki/Philip_W._Anderson
302,Ilya Prigogine,Chemistry,1977,/wiki/Nevill_Francis_Mott
303,Roger Guillemin;Andrew Schally;Rosalyn Sussman Yalow,Physiologyor Medicine,1977,/wiki/John_Hasbrouck_Van_Vleck
304,Vicente Aleixandre,Literature,1977,/wiki/Ilya_Prigogine
305,Amnesty International,Peace,1977,/wiki/Roger_Guillemin
306,Pyotr Kapitsa;Arno Allan Penzias;Robert Woodrow Wilson,Physics,1978,/wiki/Pyotr_Kapitsa
307,Peter D. Mitchell,Chemistry,1978,/wiki/Arno_Allan_Penzias
308,Werner Arber;Daniel Nathans;Hamilton O. Smith,Physiologyor Medicine,1978,/wiki/Robert_Woodrow_Wilson
309,Isaac Bashevis Singer,Literature,1978,/wiki/Peter_D._Mitchell
310,Anwar Sadat;Menachem Begin,Peace,1978,/wiki/Werner_Arber
311,Sheldon Glashow;Abdus Salam;Steven Weinberg,Physics,1979,/wiki/Sheldon_Glashow
312,Herbert C. Brown;Georg Wittig,Chemistry,1979,/wiki/Abdus_Salam
313,Allan McLeod Cormack;Godfrey Hounsfield,Physiologyor Medicine,1979,/wiki/Steven_Weinberg
314,Odysseas Elytis,Literature,1979,/wiki/Herbert_C._Brown
315,Mother Teresa,Peace,1979,/wiki/Georg_Wittig
316,James Cronin;Val Logsdon Fitch,Physics,1980,/wiki/James_Cronin
317,Paul Berg;Walter Gilbert;Frederick Sanger,Chemistry,1980,/wiki/Val_Logsdon_Fitch
318,Baruj Benacerraf;Jean Dausset;George Davis Snell,Physiologyor Medicine,1980,/wiki/Paul_Berg
319,Czesław Miłosz,Literature,1980,/wiki/Walter_Gilbert
320,Adolfo Pérez Esquivel,Peace,1980,/wiki/Frederick_Sanger
321,Nicolaas Bloembergen;Arthur Leonard Schawlow;Kai Siegbahn,Physics,1981,/wiki/Nicolaas_Bloembergen
322,Kenichi Fukui;Roald Hoffmann,Chemistry,1981,/wiki/Arthur_Leonard_Schawlow
323,Roger Wolcott Sperry;David H. Hubel;Torsten Wiesel,Physiologyor Medicine,1981,/wiki/Kai_Siegbahn
324,Elias Canetti,Literature,1981,/wiki/Kenichi_Fukui
325,United Nations High Commissioner for Refugees,Peace,1981,/wiki/Roald_Hoffmann
326,Kenneth G. Wilson,Physics,1982,/wiki/Kenneth_G._Wilson
327,Aaron Klug,Chemistry,1982,/wiki/Aaron_Klug
328,Sune Bergström;Bengt I. Samuelsson;John Vane,Physiologyor Medicine,1982,/wiki/Sune_Bergstr%C3%B6m
329,Gabriel García Márquez,Literature,1982,/wiki/Bengt_I._Samuelsson
330,Alva Myrdal;Alfonso García Robles,Peace,1982,/wiki/John_Vane
331,Subrahmanyan Chandrasekhar;William Alfred Fowler,Physics,1983,/wiki/Subrahmanyan_Chandrasekhar
332,Henry Taube,Chemistry,1983,/wiki/William_Alfred_Fowler
333,Barbara McClintock,Physiologyor Medicine,1983,/wiki/Henry_Taube
334,William Golding,Literature,1983,/wiki/Barbara_McClintock
335,Lech Wałęsa,Peace,1983,/wiki/William_Golding
336,Carlo Rubbia;Simon van der Meer,Physics,1984,/wiki/Carlo_Rubbia
337,Robert Bruce Merrifield,Chemistry,1984,/wiki/Simon_van_der_Meer
338,Niels Kaj Jerne;Georges J. F. Köhler;César Milstein,Physiologyor Medicine,1984,/wiki/Robert_Bruce_Merrifield
339,Jaroslav Seifert,Literature,1984,/wiki/Niels_Kaj_Jerne
340,Desmond Tutu,Peace,1984,/wiki/Georges_J._F._K%C3%B6hler
341,Klaus von Klitzing,Physics,1985,/wiki/Klaus_von_Klitzing
342,Herbert A. Hauptman;Jerome Karle,Chemistry,1985,/wiki/Herbert_A._Hauptman
